,PhD,Study programme,Funded places,Tuition PLK,Tuition NLK,Tuition NLN
42,B,Vides inženierija,30,€ 3 550,-,-
43,B,Ķīmija un ķīmijas tehnoloģija,60,€ 3 180,-,-
45,M,Materiālzinātne un nanotehnoloģijas,20,€ 4 760,-,-
46,M,Vides inženierija,35,€ 5 320,-,-
47,M,Ķīmija un ķīmijas tehnoloģija,20,€ 5 320,-,-
49,PhD,Vides inženierija,12,€ 12 890,-,-
50,PhD,"Ķīmija, materiālzinātne un tehnoloģijas",15,€ 12 330,-,-
52,B,Datorsistēmas,140,€ 3 550,-,-
53,B,Informācijas tehnoloģija,130,€ 3 550,-,-
54,B,Intelektuālas robotizētas sistēmas,30,€ 3 550,-,-
55,B,Telekomunikāciju tehnoloģijas un datu pārraides inženierija,40,€ 3 550,-,-
56,B,Viedās datortehnoloģijas,90,€ 3 250,-,-
58,B,Adaptronika,35,€ 3 550,€ 2 840,-
59,B,Elektrotehnoloģiju datorvadība,35,€ 3 550,€ 2 840,€ 2 840
60,B,Finanšu inženierija,35,€ 2 900,-,-
61,B,Finanšu pārvaldības informācijas sistēmas (kopīga programma ar Banku augstskolu),-,€ 3 250,-,-
62,B,Tehniskā tulkošana,-,€ 1 870,-,-
63,B,Telemātika un transporta elektroniskās sistēmas,35,€ 3 550,-,-
64,B,Viedā elektroenerģētika,50,€ 3 550,€ 2 880,-
65,B,Viedās elektroniskās sistēmas,40,€ 3 550,-,-
67,M,Biznesa informātika,30,€ 5 320,-,€ 3 360
68,M,Datorsistēmas,25,€ 5 320,-,-
69,M,Digitālās humanitārās zinātnes,25,€ 5 320,-,-
70,M,Finanšu inženiermatemātika,15,€ 4 200,-,-
71,M,Informācijas tehnoloģija,20,€ 5 320,-,-
72,M,Intelektuālas robotizētas sistēmas,15,€ 5 320,-,-
73,M,Kiberdrošības inženierija,-,€ 5 320,-,-
74,M,Loģistikas sistēmu un piegādes ķēdes vadība,-,€ 4 490,-,-
75,M,Telekomunikāciju tehnoloģijas un tīklu pārvaldība,20,€ 5 320,-,-
77,M,Adaptronika,-,€ 5 320,-,-
78,M,Datorsistēmas,15,€ 5 320,-,-
79,M,Elektrotehnoloģiju datorvadība,25,€ 5 320,€ 4 260,-
80,M,Informācijas tehnoloģijas projektu vadība,20,€ 5 320,-,-
81,M,Tehniskā tulkošana,-,€ 2 800,-,-
82,M,Telemātika un transporta elektroniskās sistēmas,10,€ 5 320,-,-
83,M,Viedā elektroenerģētika,25,€ 5 320,-,-
84,M,Viedās elektroniskās sistēmas,20,€ 5 320,-,-
86,PhD,Datorzinātne un informācijas tehnoloģija,9,€ 11 210,-,-
87,PhD,E-studiju tehnoloģijas un pārvaldība,1,€ 11 210,-,-
88,PhD,Elektronika,3,€ 11 210,-,-
89,PhD,Elektrotehnoloģiju datorvadība,6,€ 11 210,-,-
90,PhD,Telekomunikācijas,8,€ 11 210,-,-
91,PhD,Viedā elektroenerģētika,6,€ 11 210,-,-
93,C,Loģistika,-,€ 2 000,€ 1 600,€ 1 200
94,C,Nekustamā īpašuma pārvaldība,-,€ 2 000,€ 1 600,-
95,C,Uzņēmējdarbība un vadīšana,-,€ 1 650,€ 1 600,€ 1 300
97,B,Ekonomika,-,€ 1 800,€ 1 200,-
98,B,Radošās industrijas (kopīga programma ar Latvijas Kultūras akadēmiju),-,€ 2 500,-,-
99,B,Uzņēmējdarbība un vadīšana,-,€ 1 800,€ 1 200,€ 1 350
101,B,Drošības inženierija,30,€ 5 040,-,-
102,B,Muitas un nodokļu administrēšana,35,€ 5 040,€ 1 700,-
103,B,Nekustamā īpašuma pārvaldība,30,€ 3 180,€ 1 700,-
104,B,Reģionālās attīstības un pilsētekonomikas inženierija,30,€ 3 180,-,-
105,B,Starptautisko ekonomisko sakaru vadīšana,-,€ 1 800,-,-
106,B,Uzņēmējdarbība un vadīšana,20,€ 2 100,€ 1 700,-
107,B,Uzņēmējdarbības loģistika,20,€ 2 100,€ 1 700,-
108,B,Visaptverošā kvalitātes vadība,30,€ 3 180,€ 1 840,-
110,M,Ekonomika,-,€ 2 250,-,-
111,M,Radošās industrijas un izaugsmes menedžments,-,€ 2 800,-,-
112,M,Ražošanas inženierzinības un vadība,25,€ 2 800,-,-
113,M,Uzņēmējdarbība un vadīšana,-,€ 2 250,-,-
114,M,Uzņēmējdarbības finanses,-,€ 2 250,-,-
116,M,Būvuzņēmējdarbības un nekustamā īpašuma vadīšana,25,€ 4 760,€ 1 900,-
117,M,Darba aizsardzība,-,-,€ 1 900,-
118,M,Inovācijas un uzņēmējdarbība,-,€ 3 500,-,€ 3 400
119,M,Loģistika un piegādes ķēdes drošība,-,€ 2 500,-,-
120,M,Līderība un vadība,-,€ 2 500,€ 2 000,-
121,M,Muitas un nodokļu administrēšana,30,€ 7 560,€ 1 900,-
122,M,Pilsētu un reģionu inženierekonomika,25,€ 2 800,-,-
123,M,Starptautisko ekonomisko sakaru vadīšana,-,€ 2 250,-,-
124,M,Visaptverošā kvalitātes vadība,20,€ 2 800,-,€ 2 000
126,PhD,Vadībzinātne un ekonomika,8,€ 7 840,€ 6 280,-
128,C,Ugunsdrošība un civilā aizsardzība,27,€ 7 560,-,-
130,B,Arhitektūra,40,€ 5 790,-,-
132,B,Materiālu tehnoloģija un dizains,45,€ 3 920,-,-
134,M,Arhitektūra,35,€ 8 680,-,-
135,M,Dizaina inženierija,20,€ 5 880,-,-
137,PhD,Arhitektūra,1,€ 18 490,-,-
138,PhD,Šķiedru materiālu zinātne,2,€ 11 210,-,-
140,B,Datorzinātne un organizāciju tehnoloģijas,-,€ 5 100,-,-
141,B,Vadīšana starptautiskos uzņēmumos,-,€ 5 100,-,-
143,M,Uzņēmumu un organizāciju vadīšana,-,€ 11 350,-,€ 4 433
145,C,Kuģu mehānika,-,-,€ 3 000,-
146,C,Kuģu vadīšana,20,€ 4 670,€ 3 740,-
148,B,Jūras transports - kuģa elektroautomātika,20,€ 4 670,€ 3 740,-
149,B,Jūras transports - kuģa mehānika,30,€ 4 670,€ 3 740,-
150,B,Jūras transports - kuģa vadīšana,50,€ 4 670,€ 3 740,-
152,M,Jūras transports,20,€ 5 320,€ 4 290,€ 3 900
154,C,Kuģu mehānika,-,-,€ 3 100,-
155,C,Kuģu vadīšana,-,-,€ 10 230,-
157,PhD,Daļiņu fizika un paātrinātāju tehnoloģijas,4,€ 11 210,-,-
